sentences,emotion
this did the trick the boys now have a more distant friendship and david is much happier,happy
when anna left inspector aziz she was much happier,happy
and though as lachlan had planned they had expected the attack in the morning they were quite happy when their lookouts reported the macleans   approach in the early evening,happy
honestly i am really happy for you,happy
lesley was totally happy about it,happy
for once in his life leopold must have been truly happy his hopes and prayers for his beloved son seemed at last to have come to fruition,happy
she became happier more settled,happy
during the day her mother seemed happy at times baking trying out fresh recipes or changing yet again the curtains or crocheting new chair backs,happy
they seemed happy about my victory in germany and most of them expected me to win more races last year,happy
never before had bodmin seen so many faces   and so many happy faces all at one time,happy
she looked fondly at anne s bright eyes and happy face,happy
shelley looked at the happy faces of her companions and knew they wanted to be alone however sweet they were being,happy
a small happy man with a white beard he always wore the traditional grocers   apron,happy
pleasure can be no more than a gourmet s appreciation for delicacies whereas a happy person can readily settle for a much simpler diet,happy
normally such a happy sunny person she felt a vague disquiet as though she was changing without her wanting to,happy
words bubbled in jay s mind with an absurdly happy smile,happy
but behind the strained happy smiles there will lie the awful knowledge that alex saw the killer -- and was too young to understand what was going on,happy
but it was not a happy smile,happy
henry tyler would not have described her as a happy woman but afterward he could not say that she had seemed at all unwell,happy
she did not look like a happy woman,happy
all during the night over and over again she had found it absurd that she would ever considered herself a happy woman,happy
i went swimming and i was so happy i cried into the sea for three quarters of an hour,happy
i am always happy when i am wearing trousers and a jacket that covers my bum,happy
however in 1878 deaf education in greenock faced a crisis because there was no one able to continue to teach the children and one parent was not happy about his child being taught in sign language,happy
power tools coming from the hip gunslinger style or british gas portraying the contented family enjoying the warm glow of its new central heating,happy
to my mind it begins so well that it could easily be mistaken for a translation of an eighth century hermit is verse composed in a beehive hut by a contented holy man of old ireland,happy
it is true that the wonderful advance of our people   has transformed the wilderness into a home where men and women can live comfortably elegantly happily if they are of contented disposition,happy
at that stage sunderland were good value for the lead and mr crosby must have been a contented man,happy
he was a contented man for he had a good wife a prosperous farm in upper caversham some four miles from reading market had had a good season and a financially successful day,happy
he is a very contented baby a joy to his parents and big sister and today at nine weeks old 40 3 he smiled at us for the first time,happy
he sat looking at the fire with lowered eyelids a contented expression on his face looking like a big overfed cat,happy
from a starving stray it was transformed into a contented house cat,happy
griffin moss is a contented artist until he receives an enigmatic note from sabine strohem a stranger from a south pacific island,happy
jenny sat with a contented smile on her face during this interchange while mother repressed her irritation and anger with her husband s remarks,happy
i understood that this was my mother s wedding and although i was necessary to it i was expected to do nothing but be there and appear contented,happy
at various periods in his life he had felt contented satisfied angry -- certainly angry -- smug remorseful even guilty,happy
his moist mouth suckled and when she gazed down at his rapt contented face she knew that she was lost to him,happy
contented workers are more likely to be profitable,happy
